epoch,step,test_loss,time_forward,train_loss,valid_loss
175,703,,1.1423654556274414,10496.0400390625,
176,707,,,,10859.7578125
176,707,,1.1427311897277832,10490.1806640625,
177,711,,,,10855.3759765625
177,711,,1.1402969360351562,10489.3173828125,
178,715,,,,10851.0498046875
178,715,,1.1361587047576904,10483.7890625,
179,719,,,,10850.7099609375
179,719,,1.1364094018936157,10480.263671875,
180,723,,,,10837.431640625
180,723,,1.1425267457962036,10478.8154296875,
181,727,,,,10840.419921875
181,727,,1.135711908340454,10476.5537109375,
182,731,,,,10833.9873046875
182,731,,1.1404519081115723,10470.3662109375,
183,735,,,,10832.07421875
183,735,,1.1387362480163574,10469.0908203125,
184,739,,,,10829.1083984375
184,739,,1.1360278129577637,10467.22265625,
185,743,,,,10834.353515625
185,743,,1.1406446695327759,10463.5068359375,
186,747,,,,10830.3623046875
186,747,,1.1309758424758911,10464.3349609375,
187,751,,,,10830.9990234375
187,751,,1.1253501176834106,10461.28125,
188,755,,,,10825.998046875
188,755,,1.138819932937622,10458.873046875,
189,759,,,,10823.7021484375
189,759,,1.1379531621932983,10458.3427734375,
190,763,,,,10823.1123046875
190,763,,1.142922282218933,10457.4599609375,
191,767,,,,10826.505859375
191,767,,1.138695478439331,10454.1572265625,
192,771,,,,10827.2373046875
192,771,,1.1340727806091309,10450.732421875,
193,775,,,,10816.1962890625
193,775,,1.1400346755981445,10451.26953125,
194,779,,,,10816.5380859375
194,779,,1.129022479057312,10448.3671875,
195,783,,,,10810.9521484375
195,783,,1.1414698362350464,10445.529296875,
196,787,,,,10810.5771484375
196,787,,1.1379517316818237,10444.2373046875,
197,791,,,,10811.66015625
197,791,,1.1306499242782593,10441.1240234375,
198,795,,,,10802.015625
198,795,,1.142783761024475,10443.34765625,
199,799,,,,10807.744140625
199,799,,1.1413682699203491,10437.5927734375,
200,803,,,,10808.6640625
200,803,,1.1424866914749146,10437.1748046875,
201,807,,,,10796.5
201,807,,1.140136957168579,10435.25390625,
202,811,,,,10798.43359375
202,811,,1.1422500610351562,10431.7626953125,
203,815,,,,10798.1064453125
203,815,,1.1421823501586914,10431.3779296875,
204,819,,,,10797.716796875
204,819,,1.1419976949691772,10432.53515625,
205,823,,,,10805.4453125
205,823,,1.1350539922714233,10427.7490234375,
206,827,,,,10794.736328125
206,827,,1.137410283088684,10429.5,
207,831,,,,10796.279296875
207,831,,1.1444981098175049,10425.033203125,
208,835,,,,10794.408203125
208,835,,1.1405116319656372,10421.486328125,
209,839,,,,10790.2275390625
209,839,,1.135054111480713,10422.73046875,
210,843,,,,10793.17578125
210,843,,1.143019676208496,10420.568359375,
211,847,,,,10783.6142578125
211,847,,1.1397236585617065,10419.3212890625,
212,851,,,,10784.6142578125
212,851,,1.1387732028961182,10417.453125,
213,855,,,,10797.8857421875
213,855,,1.1322259902954102,10414.3994140625,
214,859,,,,10784.08203125
214,859,,1.1421465873718262,10415.775390625,
215,863,,,,10788.669921875
215,863,,1.1410255432128906,10416.623046875,
216,867,,,,10807.4658203125
216,867,,1.134056806564331,10414.634765625,
217,871,,,,10773.634765625
217,871,,1.1413995027542114,10416.689453125,
218,875,,,,10806.1943359375
218,875,,1.141980767250061,10415.2138671875,
219,879,,,,10786.5947265625
219,879,,1.1445156335830688,10411.759765625,
220,883,,,,10769.6484375
220,883,,1.141662359237671,10401.953125,
221,887,,,,10814.6318359375
221,887,,1.1468455791473389,10430.02734375,
222,891,,,,10782.494140625
222,891,,1.1337367296218872,10420.6103515625,
223,895,,,,10789.7880859375
223,895,,1.139506220817566,10415.29296875,
224,899,,,,10787.669921875
224,899,,1.1385072469711304,10406.3662109375,
225,903,,,,10779.30078125
225,903,,1.1386967897415161,10397.0537109375,
226,907,,,,10778.060546875
226,907,,1.1389254331588745,10391.6572265625,
227,911,,,,10768.43359375
227,911,,1.1403491497039795,10387.1474609375,
228,915,,,,10852.1123046875
228,915,,1.1424338817596436,10407.4521484375,
229,919,,,,10778.693359375
229,919,,1.136539101600647,10416.7431640625,
230,923,,,,10790.01171875
230,923,,1.1368943452835083,10403.7265625,
231,927,,,,10805.7880859375
231,927,,1.136259913444519,10411.0986328125,
232,931,,,,10773.0185546875
232,931,,1.136529803276062,10394.91796875,
233,935,,,,10827.330078125
233,935,,1.1347686052322388,10397.80078125,
234,939,,,,10763.671875
234,939,,1.1352920532226562,10392.1162109375,
235,943,,,,10757.5673828125
235,943,,1.1372997760772705,10377.0166015625,
236,947,,,,10753.9130859375
236,947,,1.1432536840438843,10371.4365234375,
237,951,,,,10749.9638671875
237,951,,1.1419036388397217,10373.150390625,
238,955,,,,10759.345703125
238,955,,1.1430482864379883,10364.1005859375,
239,959,,,,10747.0712890625
239,959,,1.140976905822754,10366.0732421875,
240,963,,,,10750.1923828125
240,963,,1.1455672979354858,10375.2578125,
241,967,,,,10758.34375
241,967,,1.1475220918655396,10374.560546875,
242,971,,,,10740.814453125
242,971,,1.1389411687850952,10389.03515625,
243,975,,,,10749.51953125
243,975,,1.1391781568527222,10372.7978515625,
244,979,,,,10738.6201171875
244,979,,1.1398601531982422,10372.6689453125,
245,983,,,,10739.3271484375
245,983,,1.138465404510498,10363.1328125,
246,987,,,,10738.9775390625
246,987,,1.1390655040740967,10364.2158203125,
247,991,,,,10733.90234375
247,991,,1.1433049440383911,10359.267578125,
248,995,,,,10731.0947265625
248,995,,1.137755036354065,10357.05859375,
249,999,,,,10728.1728515625
249,999,,1.1454029083251953,10353.7275390625,
250,1003,,,,10725.8662109375
250,1003,,1.1393204927444458,10353.10546875,
251,1007,,,,10726.6904296875
251,1007,,1.1361643075942993,10351.1640625,
252,1011,,,,10725.6572265625
252,1011,,1.1398594379425049,10348.5537109375,
253,1015,,,,10722.2060546875
253,1015,,1.1412091255187988,10351.1552734375,
254,1019,,,,10720.8056640625
254,1019,,1.1409568786621094,10352.1787109375,
255,1023,,,,10724.654296875
255,1023,,1.143491506576538,10347.9580078125,
256,1027,,,,10724.4267578125
256,1027,,1.1355419158935547,10347.150390625,
257,1031,,,,10717.81640625
257,1031,,1.1402837038040161,10346.486328125,
258,1035,,,,10717.0283203125
258,1035,,1.1434295177459717,10344.4580078125,
259,1039,,,,10714.6083984375
259,1039,,1.1432173252105713,10344.197265625,
260,1043,,,,10710.6181640625
260,1043,,1.1616735458374023,10343.138671875,
261,1047,,,,10716.3232421875
261,1047,,1.1630418300628662,10340.765625,
262,1051,,,,10712.3564453125
262,1051,,1.1330605745315552,10340.029296875,
263,1055,,,,10715.3798828125
263,1055,,1.1317243576049805,10337.0419921875,
264,1059,,,,10712.0224609375
264,1059,,1.1218881607055664,10336.9345703125,
265,1063,,,,10707.6025390625
265,1063,,1.1326528787612915,10337.373046875,
266,1067,,,,10707.2802734375
266,1067,,1.1335010528564453,10333.958984375,
267,1071,,,,10709.2744140625
267,1071,,1.1277676820755005,10335.7734375,
268,1075,,,,10704.6796875
268,1075,,1.125038504600525,10332.58203125,
269,1079,,,,10710.982421875
269,1079,,1.1343315839767456,10332.2568359375,
270,1083,,,,10903.6484375
270,1083,,1.1325589418411255,10454.0166015625,
271,1087,,,,34348071911424.0
271,1087,,1.1218210458755493,19404.318359375,
272,1091,,,,32548.31640625
272,1091,,1.1285345554351807,685044599357440.0,
273,1095,,,,149308.84375
273,1095,,1.1309884786605835,20038.169921875,
274,1099,,,,14961.6181640625
274,1099,,1.121634840965271,32292734.0,
275,1103,,,,16726.755859375
275,1103,,1.1312694549560547,14118.814453125,
276,1107,,,,12235.9521484375
276,1107,,1.1236943006515503,13709.162109375,
277,1111,,,,12043.5419921875
277,1111,,1.130821943283081,11679.8447265625,
278,1115,,,,11650.1142578125
278,1115,,1.1311850547790527,11849.603515625,
279,1119,,,,11383.4033203125
279,1119,,1.1280473470687866,11409.5048828125,
280,1123,,,,11314.234375
280,1123,,1.129309892654419,11300.734375,
281,1127,,,,11228.5595703125
281,1127,,1.1267465353012085,10932.69140625,
282,1131,,,,11142.9775390625
282,1131,,1.1272114515304565,10862.1708984375,
283,1135,,,,11212.6162109375
283,1135,,1.125156044960022,10846.8505859375,
284,1139,,,,11098.6494140625
284,1139,,1.1257877349853516,10829.87890625,
285,1143,,,,11177.017578125
285,1143,,1.1281466484069824,10719.1796875,
286,1147,,,,11000.58203125
286,1147,,1.113308310508728,10782.7275390625,
287,1151,,,,10953.25
287,1151,,1.125922441482544,10603.767578125,
288,1155,,,,10891.2490234375
288,1155,,1.1174904108047485,10559.4873046875,
289,1159,,,,10883.3642578125
289,1159,,1.1195313930511475,10527.8046875,
290,1163,,,,10843.5439453125
290,1163,,1.121832013130188,10485.048828125,
291,1167,,,,10844.0263671875
291,1167,,1.1175943613052368,10496.814453125,
292,1171,,,,10844.984375
292,1171,,1.1408069133758545,10463.6103515625,
293,1175,,,,10838.724609375
293,1175,,1.1201159954071045,10455.505859375,
294,1179,,,,10793.9384765625
294,1179,,1.1300914287567139,10435.5888671875,
295,1183,,,,10794.7724609375
295,1183,,1.129940390586853,10424.5654296875,
296,1187,,,,10817.3701171875
296,1187,,1.1235677003860474,10411.1201171875,
297,1191,,,,10791.150390625
297,1191,,1.128012776374817,10417.650390625,
298,1195,,,,10784.1884765625
298,1195,,1.1332900524139404,10402.0634765625,
299,1199,,,,10778.4013671875
299,1199,,1.1249620914459229,10397.2138671875,
300,1203,,,,10763.2744140625
300,1203,,1.130944848060608,10383.46875,
301,1207,,,,10765.333984375
301,1207,,1.1286354064941406,10384.029296875,
302,1211,,,,10764.005859375
302,1211,,1.1366727352142334,10372.85546875,
303,1215,,,,10749.3798828125
303,1215,,1.1284818649291992,10371.126953125,
304,1219,,,,10750.0908203125
304,1219,,1.1261274814605713,10365.544921875,
305,1223,,,,10742.7841796875
305,1223,,1.1462593078613281,10363.056640625,
306,1227,,,,10744.599609375
306,1227,,1.1264185905456543,10357.408203125,
307,1231,,,,10733.330078125
307,1231,,1.1367501020431519,10354.8662109375,
308,1235,,,,10735.3095703125
308,1235,,1.1302716732025146,10351.4228515625,
309,1239,,,,10735.5400390625
309,1239,,1.1325594186782837,10347.7578125,
310,1243,,,,10730.33203125
310,1243,,1.122123122215271,10345.40625,
311,1247,,,,10728.3984375
311,1247,,1.1230038404464722,10342.412109375,
312,1251,,,,10725.78125
312,1251,,1.1297153234481812,10343.650390625,
313,1255,,,,10727.8232421875
313,1255,,1.13038969039917,10339.1201171875,
314,1259,,,,10720.1533203125
314,1259,,1.1249566078186035,10338.3095703125,
315,1263,,,,10724.01171875
315,1263,,1.1365457773208618,10335.5,
316,1267,,,,10719.185546875
316,1267,,1.1250457763671875,10333.5869140625,
317,1271,,,,10722.2080078125
317,1271,,1.1324573755264282,10332.9462890625,
318,1275,,,,10717.8486328125
318,1275,,1.1302852630615234,10329.8359375,
319,1279,,,,10716.0078125
319,1279,,1.1150659322738647,10329.734375,
320,1283,,,,10717.6904296875
320,1283,,1.117148518562317,10326.6748046875,
321,1287,,,,10711.41796875
321,1287,,1.1146752834320068,10324.8125,
322,1291,,,,10706.1826171875
322,1291,,1.1095114946365356,10324.6787109375,
323,1295,,,,10704.98046875
323,1295,,1.1098719835281372,10322.509765625,
324,1299,,,,10707.34375
324,1299,,1.10881769657135,10321.2890625,
325,1303,,,,10704.220703125
325,1303,,1.1089136600494385,10319.708984375,
326,1307,,,,10701.9697265625
326,1307,,1.1185643672943115,10317.9599609375,
327,1311,,,,10702.4736328125
327,1311,,1.1204545497894287,10316.5517578125,
328,1315,,,,10698.1298828125
328,1315,,1.1159648895263672,10315.591796875,
329,1319,,,,10697.7998046875
329,1319,,1.1289290189743042,10315.009765625,
330,1323,,,,10697.5517578125
330,1323,,1.1190568208694458,10314.521484375,
331,1327,,,,10700.9521484375
331,1327,,1.1191411018371582,10311.681640625,
332,1331,,,,10705.1640625
332,1331,,1.1226516962051392,10309.35546875,
333,1335,,,,10702.0859375
333,1335,,1.1155486106872559,10308.4580078125,
334,1339,,,,10696.9736328125
334,1339,,1.110352873802185,10308.9375,
335,1343,,,,10696.4677734375
335,1343,,1.1118495464324951,10308.998046875,
336,1347,,,,10694.40234375
336,1347,,1.113350510597229,10306.638671875,
337,1351,,,,10693.75390625
337,1351,,1.1115583181381226,10305.42578125,
338,1355,,,,10693.361328125
338,1355,,1.118003249168396,10305.001953125,
339,1359,,,,10689.2255859375
339,1359,,1.114277720451355,10303.8662109375,
340,1363,,,,10689.2275390625
340,1363,,1.1184587478637695,10302.8603515625,
341,1367,,,,10687.59765625
341,1367,,1.117958664894104,10302.23046875,
342,1371,,,,10685.0087890625
342,1371,,1.1228253841400146,10299.8447265625,
343,1375,,,,10688.9111328125
343,1375,,1.1213905811309814,10300.8525390625,
344,1379,,,,10688.2802734375
344,1379,,1.10912024974823,10298.58203125,
345,1383,,,,10680.10546875
345,1383,,1.1149041652679443,10299.205078125,
346,1387,,,,10689.244140625
346,1387,,1.1148474216461182,10298.3505859375,
347,1391,,,,10683.806640625
347,1391,,1.1149579286575317,10295.8955078125,
348,1395,,,,10673.583984375
348,1395,,1.1170626878738403,10297.8544921875,
349,1399,,,,10692.380859375
349,1399,,1.1299322843551636,10295.673828125,
350,1403,,,,10674.1328125
350,1403,,1.120172142982483,10294.126953125,
351,1407,,,,10707.6240234375
351,1407,,1.1133999824523926,10296.6669921875,
352,1411,,,,10681.0439453125
352,1411,,1.1221919059753418,10301.3603515625,
353,1415,,,,10678.068359375
353,1415,,1.1156089305877686,10294.0947265625,
354,1419,,,,10696.0029296875
354,1419,,1.1146944761276245,10292.1337890625,
355,1423,,,,10675.244140625
355,1423,,1.1138306856155396,10301.4013671875,
356,1427,,,,10674.0458984375
356,1427,,1.1243151426315308,10296.4892578125,
357,1431,,,,10661.90625
357,1431,,1.1220524311065674,10292.009765625,
358,1435,,,,10666.55078125
358,1435,,1.1141397953033447,10288.609375,
359,1439,,,,10667.1259765625
359,1439,,1.115381121635437,10287.1552734375,
360,1443,,,,10661.7275390625
360,1443,,1.115234136581421,10284.453125,
361,1447,,,,10664.6064453125
361,1447,,1.123136281967163,10283.46484375,
362,1451,,,,10656.8212890625
362,1451,,1.1252975463867188,10280.87109375,
363,1455,,,,10650.5322265625
363,1455,,1.1259207725524902,10276.2578125,
364,1459,,,,10649.6796875
364,1459,,1.1174900531768799,10272.908203125,
365,1463,,,,10646.4658203125
365,1463,,1.1122406721115112,10271.4052734375,
366,1467,,,,10643.65234375
366,1467,,1.1199458837509155,10269.3759765625,
367,1471,,,,10654.9931640625
367,1471,,1.1189101934432983,10273.46875,
368,1475,,,,10672.951171875
368,1475,,1.1100634336471558,10277.5419921875,
369,1479,,,,10693.8193359375
369,1479,,1.1124017238616943,10290.984375,
370,1483,,,,10651.865234375
370,1483,,1.106991171836853,10288.814453125,
371,1487,,,,10652.1142578125
